timestamp,ward_id,pm2_5,pm10,co_level,no2_level,wind_speed
2026-02-17 18:00:00,Noida_Sector_62,99.78,181.01,1.94,25.3,8.41
2026-02-17 19:00:00,Noida_Sector_62,90.05,172.39,1.46,38.19,14.07
2026-02-17 20:00:00,Noida_Sector_62,97.36,192.32,1.68,37.92,9.82
2026-02-17 21:00:00,Noida_Sector_62,95.74,187.93,0.63,41.5,10.95
2026-02-17 22:00:00,Noida_Sector_62,71.96,139.39,1.71,40.96,4.86
2026-02-17 23:00:00,Noida_Sector_62,96.76,186.69,2.1,36.31,6.5
2026-02-18 00:00:00,Noida_Sector_62,99.29,186.44,0.72,49.73,7.11
2026-02-18 01:00:00,Noida_Sector_62,94.37,185.44,1.36,23.71,8.04
2026-02-18 02:00:00,Noida_Sector_62,81.18,155.74,1.02,48.29,14.32
2026-02-18 03:00:00,Noida_Sector_62,86.76,154.69,1.9,44.24,9.77
2026-02-18 04:00:00,Noida_Sector_62,73.16,138.97,1.25,54.27,7.99
2026-02-18 05:00:00,Noida_Sector_62,72.06,139.1,1.34,25.82,11.75
2026-02-18 06:00:00,Noida_Sector_62,100.24,188.03,1.44,41.5,12.23
2026-02-18 07:00:00,Noida_Sector_62,87.3,161.02,0.98,29.1,5.2
2026-02-18 08:00:00,Noida_Sector_62,84.66,159.75,1.59,59.09,9.68
2026-02-18 09:00:00,Noida_Sector_62,74.79,142.88,0.94,38.47,5.31
2026-02-18 10:00:00,Noida_Sector_62,69.84,144.49,1.26,41.04,6.75
2026-02-18 11:00:00,Noida_Sector_62,77.07,154.42,1.59,39.46,14.64
2026-02-18 12:00:00,Noida_Sector_62,103.23,207.0,1.37,42.12,12.65
2026-02-18 13:00:00,Noida_Sector_62,96.13,180.8,1.64,49.06,10.19
2026-02-18 14:00:00,Noida_Sector_62,97.14,176.44,1.17,25.62,12.04
2026-02-18 15:00:00,Noida_Sector_62,91.14,175.8,1.54,50.15,10.88
2026-02-18 16:00:00,Noida_Sector_62,77.24,144.69,2.17,46.6,10.54
2026-02-18 17:00:00,Noida_Sector_62,112.69,219.42,1.17,54.56,5.35
2026-02-18 18:00:00,Noida_Sector_62,106.97,206.87,1.14,41.53,5.16
2026-02-18 19:00:00,Noida_Sector_62,70.89,145.85,2.16,28.4,6.15
2026-02-18 20:00:00,Noida_Sector_62,93.57,203.55,1.22,58.56,7.96
2026-02-18 21:00:00,Noida_Sector_62,71.98,141.24,1.48,45.89,15.75
2026-02-18 22:00:00,Noida_Sector_62,75.55,142.99,1.15,42.97,7.87
2026-02-18 23:00:00,Noida_Sector_62,89.29,187.71,1.46,32.24,7.59
2026-02-19 00:00:00,Noida_Sector_62,78.5,159.62,1.52,42.23,11.29
2026-02-19 01:00:00,Noida_Sector_62,95.34,180.01,1.61,14.1,11.83
2026-02-19 02:00:00,Noida_Sector_62,96.03,169.86,1.57,39.88,9.99
2026-02-19 03:00:00,Noida_Sector_62,75.24,146.07,1.98,29.1,9.08
2026-02-19 04:00:00,Noida_Sector_62,69.76,154.47,1.93,34.83,11.16
2026-02-19 05:00:00,Noida_Sector_62,101.62,189.37,1.4,52.12,6.32
2026-02-19 06:00:00,Noida_Sector_62,100.23,185.26,1.54,40.25,8.45
2026-02-19 07:00:00,Noida_Sector_62,87.62,173.88,2.05,32.01,8.19
2026-02-19 08:00:00,Noida_Sector_62,96.41,176.16,1.37,36.71,8.69
2026-02-19 09:00:00,Noida_Sector_62,110.36,216.63,1.82,51.97,7.28
2026-02-19 10:00:00,Noida_Sector_62,95.07,173.38,1.14,37.68,13.1
2026-02-19 11:00:00,Noida_Sector_62,99.27,189.72,1.67,31.24,11.84
2026-02-19 12:00:00,Noida_Sector_62,108.52,203.13,1.84,48.46,14.64
2026-02-19 13:00:00,Noida_Sector_62,111.59,208.79,1.85,32.96,9.27
2026-02-19 14:00:00,Noida_Sector_62,90.51,168.24,1.47,41.41,4.04
2026-02-19 15:00:00,Noida_Sector_62,78.02,156.23,0.83,35.66,3.27
2026-02-19 16:00:00,Noida_Sector_62,93.92,179.2,1.79,43.91,13.68
2026-02-19 17:00:00,Noida_Sector_62,84.72,157.67,1.07,39.53,14.46
2026-02-19 18:00:00,Noida_Sector_62,96.36,172.55,1.3,47.17,11.67
2026-02-19 19:00:00,Noida_Sector_62,87.81,163.74,1.58,46.97,8.43
2026-02-19 20:00:00,Noida_Sector_62,88.2,178.69,1.55,56.3,11.19
2026-02-19 21:00:00,Noida_Sector_62,82.29,170.8,1.72,35.51,10.88
2026-02-19 22:00:00,Noida_Sector_62,79.14,141.53,1.93,39.93,7.74
2026-02-19 23:00:00,Noida_Sector_62,113.35,205.25,1.39,53.72,7.73
2026-02-20 00:00:00,Noida_Sector_62,108.91,190.92,1.23,38.22,8.72
2026-02-20 01:00:00,Noida_Sector_62,96.94,175.02,1.33,53.0,10.16
2026-02-20 02:00:00,Noida_Sector_62,88.89,163.54,1.77,30.5,7.95
2026-02-20 03:00:00,Noida_Sector_62,79.77,162.71,1.37,34.56,4.56
2026-02-20 04:00:00,Noida_Sector_62,88.72,168.56,2.02,57.59,7.23
2026-02-20 05:00:00,Noida_Sector_62,61.84,122.97,1.25,34.21,2.7
2026-02-20 06:00:00,Noida_Sector_62,75.49,144.6,0.76,31.51,10.82
